Rank,team_id,display_name
1,duke,Duke
2,kentucky,Kentucky
3,ucla,UCLA
4,oregon,Oregon
5,louisiana-state,LSU
6,kansas,Kansas
7,north-carolina,North Carolina
8,texas,Texas
9,vanderbilt,Vanderbilt
10,notre-dame,Notre Dame
11,indiana,Indiana
12,villanova,Villanova
13,maryland,Maryland
14,michigan-state,Michigan St.
15,southern-california,USC
16,michigan,Michigan
17,wake-forest,Wake Forest
18,florida,Florida
19,arizona-state,Arizona St.
20,alabama,Alabama
21,ohio-state,Ohio St.
22,mississippi-state,Mississippi St.
23,washington,Washington
24,providence,Providence
25,arkansas,Arkansas
26,illinois,Illinois
27,west-virginia,West Virginia
28,stanford,Stanford
29,north-carolina-state,N.C. State
30,texas-christian,TCU
31,arizona,Arizona
32,georgia-tech,Georgia Tech
33,texas-tech,Texas Tech
34,iowa-state,Iowa St.
35,northwestern,Northwestern
36,purdue,Purdue
37,minnesota,Minnesota
38,rhode-island,Rhode Island
39,virginia-tech,Virginia Tech
40,creighton,Creighton
