Rank,points,team_id
1,374,kentucky
2,355,duke
3,322,st-johns-ny
4,232,ohio-state
5,222,louisville
6,220,arizona
7,205,texas
8,185,north-carolina
9,178,syracuse
10,170,arkansas
11,148,alabama
12,141,baylor
13,126,illinois
14,117,pittsburgh
15,111,oklahoma-state
16,98,mississippi-state
17,97,florida
18,95,virginia-tech
19,92,memphis
20,91,indiana
21,86,georgia
22,85,oregon
23,84,michigan-state
24,83,washington
25,73,florida-state
26,71,arizona-state
27,70,georgetown
27,70,kansas
29,69,connecticut
30,64,college-of-charleston
31,62,louisiana-state
31,62,vanderbilt
33,58,maryland
34,53,west-virginia
35,49,texas-am
36,48,ucla
37,47,xavier
38,46,central-florida
39,45,villanova
40,38,stanford
41,29,georgia-tech
42,25,george-mason
43,24,gonzaga
44,20,rutgers
44,20,marquette
46,15,western-kentucky
47,8,cincinnati
48,7,virginia
49,5,clemson
50,4,michigan
51,2,south-carolina
